#633-NPs water	
# Wavelength (nm)	%R
1915	39.43411636
1914	39.5985527
1913	39.56587982
1912	39.57866287
1911	39.58543396
1910	39.69977951
1909	39.74585342
1908	39.7059021
1907	39.72561646
1906	39.69189072
1905	39.67020416
1904	39.83882523
1903	39.67369461
1902	39.71388626
1901	39.78009033
1900	39.94633102
1899	39.93361282
1898	40.05126953
1897	40.01333618
1896	39.96335602
1895	39.8564415
1894	39.82222366
1893	40.05475235
1892	40.10256577
1891	40.13364792
1890	40.10914993
1889	40.11699295
1888	40.11162949
1887	40.11687088
1886	40.14476395
1885	40.15235519
1884	40.27349472
1883	40.146492
1882	40.02211761
1881	40.2544899
1880	40.37555313
1879	40.28881073
1878	40.35480499
1877	40.26129913
1876	40.43203354
1875	40.3925972
1874	40.3978653
1873	40.23863602
1872	40.46378326
1871	40.48628998
1870	40.21554565
1869	40.46194077
1868	40.4750061
1867	40.3203392
1866	40.40581894
1865	40.46020508
1864	40.3094101
1863	40.40765381
1862	40.48930359
1861	40.53928375
1860	40.49316788
1859	40.314991
1858	40.44134521
1857	40.51323318
1856	40.54349518
1855	40.29558945
1854	40.29294968
1853	40.33823395
1852	40.4680748
1851	40.33039093
1850	40.35690308
1849	40.38961411
1848	40.33486176
1847	40.63385391
1846	40.3869133
1845	40.49964142
1844	40.44354248
1843	40.25024033
1842	40.31992722
1841	40.38237381
1840	40.25167847
1839	40.28593826
1838	40.19373703
1837	40.33939362
1836	40.39131927
1835	40.23144913
1834	40.15265274
1833	40.3680191
1832	40.28665543
1831	40.20254135
1830	40.26448059
1829	40.25409698
1828	40.20856094
1827	40.23435593
1826	40.12698364
1825	40.23376846
1824	40.11582184
1823	40.23074341
1822	40.15799332
1821	40.19993591
1820	40.10023499
1819	40.13092804
1818	40.03363037
1817	40.17787933
1816	40.10616684
1815	40.06586838
1814	40.22697449
1813	40.21117783
1812	40.13803482
1811	40.10258484
1810	39.98443604
1809	40.0014267
1808	40.08039856
1807	40.01359177
1806	40.0093956
1805	40.03763962
1804	40.03083801
1803	39.89482117
1802	39.99883652
1801	39.96839142
1800	39.97569275
1799	39.90588379
1798	39.87217712
1797	40.01955414
1796	39.89004135
1795	39.89876556
1794	39.87995148
1793	39.85194778
1792	39.81058121
1791	39.89664841
1790	39.8991394
1789	39.90078735
1788	39.88222504
1787	39.82242966
1786	39.81556702
1785	39.85552979
1784	39.77719116
1783	39.65714264
